L1,L2,Score
src,fro,2.66935206646967
fro,src,2.66935206646967
li3,fra,2.67275703926191
fra,li3,2.67275703926191
pr2,lm2,2.67372054469025
lm2,pr2,2.67372054469025
ve1,pr2,2.6774326940255
pr2,ve1,2.6774326940255
fra,eg2,2.68716439950792
eg2,fra,2.68716439950792
fra,eg3,2.68849149787577
eg3,fra,2.68849149787577
pr2,eg2,2.69047409686722
eg2,pr2,2.69047409686722
qbb,por,2.69622242850849
por,qbb,2.69622242850849
lm1,dlm,2.69645806825851
dlm,lm1,2.69645806825851
qbb,ca5,2.696542573479
ca5,qbb,2.696542573479
lat,ca5,2.7077715729521
ca5,lat,2.7077715729521
ve2,ron,2.71487095332045
ron,ve2,2.71487095332045
sro,pm5,2.71571258313998
pm5,sro,2.71571258313998
src,lm2,2.72486560246291
lm2,src,2.72486560246291
sc3,ron,2.72513870707729
ron,sc3,2.72513870707729
spa,ll1,2.73025240908547
ll1,spa,2.73025240908547
sro,ca6,2.73587364746269
ca6,sro,2.73587364746269
ron,fur,2.73688290720522
fur,ron,2.73688290720522
ron,glg,2.73852782715544
glg,ron,2.73852782715544
ro3,li2,2.7403708319814
li2,ro3,2.7403708319814
nea,lat,2.74055546525296
